Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
11,Dr.Ysr Memorial Hospitals,,,,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch","12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch,.",Andhra Pradesh,Anantapur,,515001,08554  247155,,,,,,,,,,,,
12,Hrudaya Children Hospital,,,,Sai Nagar Iind Cross,"Sai Nagar Iind Cross,Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6749908,77.6032432,,"14.675, 77.603"
13,"Jeevana Jyothi Hospitals Ltd.,",,,,"#15-381, Kamala Nagar","15-381, Kamala Nagar,.",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,17.4738037,78.5641765,,"17.474, 78.564"
14,K K Nursing Home,,,,Opposite Annapurna Lodge Kamalanagar,Opposite Annapurna Lodge Kamalanagar,Andhra Pradesh,Anantapur,,515001,08554  222133,,,,,,,,,,,,
15,Meda Nursing Home,,,,Railway Station Road,Railway Station Road,Andhra Pradesh,Anantapur,,515001,08554    277562,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
16,Mnr Nursing Home,,,,"12/3-269, Sai Nagar, 6Th Cross","12/3-269, Sai Nagar, 6Th Cross, Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6723351,77.6018211,,"14.672, 77.602"
17,Mythri Hospitals,,,,D No: 15/721 Kamala Nagar,D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Andhra Pradesh,Anantapur,,515001,"08554    274630, 245014, 9441074096",,,,,,,,,14.6867872,77.5832307,,"14.687, 77.583"
18,Padmavathi Hospital,,,,"Aravinda Nagar, 2 Nd Cross","Aravinda Nagar, 2 Nd Cross",Andhra Pradesh,Anantapur,,515001,08554  249966,,,,,,,,,15.3474564,75.1253824,,"15.347, 75.125"
19,Pavani Multi Speciality Hospital,,,,"12-2-979,3Rd Cross, Sai Nagar","12-2-979,3Rd Cross, Sai Nagar, Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6742267,77.6025251,,"14.674, 77.603"
20,Prasanthi Nursing Home,,,,"#346, Court Road","346, Court Road,.",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
21,Priya Multispeciality Hospital,,,,"#12/2/991, Sai Nagar,Main Road","12/2/991, Sai Nagar,Main Road, Anantpur",Andhra Pradesh,Anantapur,,515001,231908,,,,,,,,,14.6723351,77.6018211,,"14.672, 77.602"
22,Ravitej Nursing Home,,,,"15-16, Kamala Nagar","15-16, Kamala Nagar, Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6805847,77.6000775,,"14.681, 77.6"
23,Santhi Nursing Home,,,,"Near R.T.C, Bus Stand","Near R.T.C, Bus Stand, Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,13.9860276,77.7658783,,"13.986, 77.766"
24,Sri Prakash Eye Hospital,,,,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital","12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital, Anantpur,",Andhra Pradesh,Anantapur,,515001,08554  22106,,,,,,,,,,,,
25,Sri Sai Balaji Hospital,,,,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross","Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
26,Sri Sai Kurpa Nursing Home,,,,"10/368, Sarojini Road","10/368, Sarojini Road, Anantapur",Andhra Pradesh,Anantapur,,515001,08554    274564,,,,,,,,,13.6340453,79.4157431,,"13.634, 79.416"
27,Sri Sai Venkateshwara Surgical Clinic,,,,Anantapur,Anantapur,Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
28,Sudhir Surgical Clinic,,,,Hospital Road,"Hospital Road,Anantapur-515001",Andhra Pradesh,Anantapur,,515001,220092,,,,,,,,,14.9093514,78.0060388,,"14.909, 78.006"
29,Suma Eye Clinic,,,,"12-2-870,1St Cross,Sai Nagar","12-2-870,1St Cross,Sai Nagar,Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6755437,77.6036802,,"14.676, 77.604"
30,Swetha Ent Hospital,,,,"#12/350-A,1St Cross ,Sai Nagar","12/350-A,1St Cross,Sai Nagar,Anantapur",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6755437,77.6036802,,"14.676, 77.604"
31,Vaatsalya Hospital(Ananthapur),,,,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex","Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Andhra Pradesh,Anantapur,,515001,277077,,,,,,,,,,,,
32,Varun Children's Hospital,,,,"D. No.14/224, Kamala Nagar","D. No.14/224, Kamala Nagar",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,19.0627033,72.9297396,,"19.063, 72.93"
33,Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),,,,"7/201, Court Road","7/201, Court Road",Andhra Pradesh,Anantapur,,515001,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
34,Vijaya Nursing Home,,,,Navodaya Colony,"Navodaya Colony, Anantpur",Andhra Pradesh,Anantapur,,515001,220912,,,,,,,,,14.6607456,77.6085681,,"14.661, 77.609"
35,Divyasree Hospital,,,,Adimurthy Nagar Guild Of Service Road,Adimurthy Nagar Guild Of Service Road,Andhra Pradesh,Anantapur,,515002,08554  274322,,,,,,,,,,,,
36,Mamatha Nursing Home,,,,"12-2-865, 1St Cross, Sai Nagar","12-2-865, 1St Cross, Sai Nagar",Andhra Pradesh,Anantapur,,515004,08554  275152,9440014646,,,,,,,,13.0433764,80.1622367,,"13.043, 80.162"
37,Anantapuram Praja Vaidyasala,,,,"28-639-1, Behind Sangamesh Funtion Hall","28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Andhra Pradesh,Anantapur,,515005,,,,,,,,,,14.6735546,77.6081894,,"14.674, 77.608"
38,Balaji Nursing Home,,,,M.F. Road,"M.F. Road,.",Andhra Pradesh,Anantapur,,515201,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
39,Dr B V Syamala Ratnam Hospiatal,,,,"Opposite R.T.C Bus Stand, Hindupur (Po)","Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Andhra Pradesh,Anantapur,,515201,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
40,Girish Multispeciality Hospital,,,,"#18-1-167, M F Road, Hindupur","18-1-167, M F Road, Hindupur",Andhra Pradesh,Anantapur,,515201,,,,,,,,,,14.178135,77.2728241,,"14.178, 77.273"
41,Shilpa Hospital,,,,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur","R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Andhra Pradesh,Anantapur,,515201,08556 220728,,,,,,,,,13.8358978,77.5046101,,"13.836, 77.505"
42,Sreenivasa Nursing Home,,,,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Andhra Pradesh,Anantapur,,515201,,,,,,,,,,13.8185378,77.4988753,,"13.819, 77.499"
43,Teja Nursing Home,,,,R.P and G.T Road Hindupur,R.P and G.T Road Hindupur--515201,Andhra Pradesh,Anantapur,,515201,,,,,,,,,,13.8371751,77.4878898,,"13.837, 77.488"
44,Sharada Nursing Home and Falvia P Reddy Diagnostic,,,,"1/531A-3, East Palem, C B Road, Tadaptri","1/531A-3, East Palem, C B Road, Tadaptri",Andhra Pradesh,Anantapur,,515411,,,,,,,,,,14.910003,78.0005407,,"14.91, 78.001"
45,Sri Kanchani Hospital,,,,"C.B Road, Tadpatri","C.B Road, Tadpatri",Andhra Pradesh,Anantapur,,515411,,,,,,,,,,14.9070274,78.0092703,,"14.907, 78.009"
46,Sri Veja Hospital,,,,"14/10-3, Bukkapatnam Street,","14/10-3, Bukkapatnam Street,",Andhra Pradesh,Anantapur,,515411,,,,,,,,,,,,,
47,Azad Diabetic Centre,,,,"Near Andhra Bank, Byepass Road , Kadiri","Near Andhra Bank, Byepass Road, Kadiri",Andhra Pradesh,Anantapur,,515591,,,,,,,,,,,,,
48,Devi Nursing Home,,,,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram","Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Andhra Pradesh,Anantapur,,515671,,,,,,,,,,14.4137447,77.7126189,,"14.414, 77.713"
49,Spandana Hospital,,,,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram","Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Andhra Pradesh,Anantapur,,515671,08559  225919,,,,,,,,,14.4068919,77.7125679,,"14.407, 77.713"
50,Preethi Nursing Home,,,,"Thilak Nagar, Guntakal","Thilak Nagar, Guntakal",Andhra Pradesh,Anantapur,,515801,,,,,,,,,,15.1622611,77.3826845,,"15.162, 77.383"
51,Babu Nursing Home - Chittoor,,,,"2-1254/1 , Officecers Line, Kongareddipalli","2-1254/1, Officecers Line, Kongareddipalli",Andhra Pradesh,Chittoor,,517001,229940/200345,,,,,,,,,,,,
52,Dr. Agarwals Eye Hospital Ltd.,,,,"22-339/2, Opposite Sbi Colony, Kongareddy Patte","22-339/2, Opposite Sbi Colony, Kongareddy Patte, Chitoor,",Andhra Pradesh,Chittoor,,517001,,,,,,,,,,,,,
53,Dr. Ramalakshmi Nursing Home,,,,"No.17-433, Lakshmi Complex, Sundarayyar Street","No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Andhra Pradesh,Chittoor,,517001,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
54,Dr. V. K. R. Nursing Home and Scan Centre,,,,"No. 20-142/1, Near Raghava Theatre, Naidu Building","No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Andhra Pradesh,Chittoor,,517001,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
55,Lakshmi Hospital,,,,"D.No:17-284,,T.V.Naidu St","D.No:17-284,T.V.Naidu St,.",Andhra Pradesh,Chittoor,,517001,,,,,,,,,,28.6481837,77.3709431,,"28.648, 77.371"
56,Ravi Nursing Home - Chitoor,,,,2-55/1 Municipal Office Road Near New Rtc Bus Stand,2-55/1 Municipal Office Road Near New Rtc Bus Stand,Andhra Pradesh,Chittoor,,517001,232235,,,,,,,,,,,,
57,S.M.Clinic,,,,"# 2-1250, Officers Lane","2-1250, Officers Lane,.",Andhra Pradesh,Chittoor,,517001,,,,,,,,,,,,,
58,Sreelatha Modern Eye Hospital And Research Centre,,,,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office","2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Andhra Pradesh,Chittoor,,517001,"08577    222121, 226660,",,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
59,Sujatha Nursing Home,,,,"#2-1090, Padmavathi Nagar, Piler","2-1090, Padmavathi Nagar, Piler, Chittoor",Andhra Pradesh,Chittoor,,517001,,,,,,,,,,13.65,78.933333,,"13.65, 78.933"
60,Apollo Hospitals Aragonda,,,,Aragonda Thavanampalle Mandal,Aragonda Thavanampalle Mandal,Andhra Pradesh,Chittoor,,517129,"08573  283220, 283221",,,,,,,,,,,,
61,Balaji Hospital,,,,Opp:Tn Petrol Bunk Punganur Punganur,Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Andhra Pradesh,Chittoor,,517247,08581    252867,,,,,,,,,13.36592,78.5750141,,"13.366, 78.575"
62,Vijaya Nursing Home,,,,Gokul Theater Road Punganur Punganur,Gokul Theater Road Punganur Punganur 517247  Chittoor,Andhra Pradesh,Chittoor,,517247,08581    253129,,,,,,,,,13.36592,78.5750141,,"13.366, 78.575"
63,Balaji Multi Speciality Hospital,,,,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle","Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Andhra Pradesh,Chittoor,,517325,08571  227799,,,,,,,,,13.5508703,78.50597,,"13.551, 78.506"
64,Bhavya Child Care Center,,,,Near Rtc Bus Stand Chittoor Madanapalli,Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Andhra Pradesh,Chittoor,,517325,08571    221444,,,,,,,,,13.5603491,78.5036065,,"13.56, 78.504"
65,Bhavyas Children Hospital,,,,R T C Bus Stand Madanpalle,R T C Bus Stand Madanpalle -,Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.5508703,78.50597,,"13.551, 78.506"
66,Chandra Mohan's Nursing Home,,,,14/2A Ctm Road Beside Icici Bank Madanapalli,14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Andhra Pradesh,Chittoor,,517325,08571    222167,,,,,,,,,13.5603491,78.5036065,,"13.56, 78.504"
67,Desai Hospital,,,,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle","Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.5603491,78.5036065,,"13.56, 78.504"
68,Desai Hospital-Madanapalli,,,,"No. 3-153-4-3-1, Near Rtc Bus Stand","No. 3-153-4-3-1, Near Rtc Bus Stand,",Andhra Pradesh,Chittoor,,517325,"08571    223144, 223257",,,,,,,,,14.4656511,78.8330438,,"14.466, 78.833"
69,Emergency Hospital,,,,"Near R.T.C.Busstand,C.T.M.Road","Near R.T.C.Busstand,C.T.M.Road.",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,18.4328566,79.1303578,,"18.433, 79.13"
70,Gupta Nursing Home,,,,C.T.M.Road,",C.T.M.Road.",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
71,Kathasagaram Hospitals,,,,"# 15-37, Burma St, C.T.M. Road","15-37, Burma St,,C.T.M. Road .",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.5529488,78.5086376,,"13.553, 78.509"
72,Leo Hospital,,,,",,C.T.M.Road",",C.T.M.Road.",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
73,M.V.L Hospital,,,,C.T.M Road(Opp State Bank Of India) Madanapalle,"C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.5657237,78.5066868,,"13.566, 78.507"
74,Madanapalle Hospital Pvt Ltd,,,,"C.T.M Road, Madanapalle","C.T.M Road, Madanapalle",Andhra Pradesh,Chittoor,,517325,08571  223565,,,,,,,,,13.553374,78.5065719,,"13.553, 78.507"
75,Popular Nursing Home,,,,"Gandhi Road,,Gandhi Road","Gandhi Road,Gandhi Road.",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,30.3145962,78.0357476,,"30.315, 78.036"
76,Rama Orthopaedic Nursing Home,,,,"Iv-5-3, Marpoori Colony, Madanapalle","Iv-5-3, Marpoori Colony, Madanapalle",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.5603491,78.5036065,,"13.56, 78.504"
77,Shantharam Hospital,,,,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle","Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.553374,78.5065719,,"13.553, 78.507"
78,Siloam Eye Centre,,,,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle","(A Unit Of Lvpei,), Bangalore Road, Madanpalle,",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,,,,
79,Siloam Orthopaedic and Trauma Centre,,,,"# 14-26, Old Andhra Bank Building,,C.T.M.Road","14-26, Old Andhra Bank Building,C.T.M.Road.",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,,,,
80,Sri Kaveri Speciality Hospital,,,,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle","Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,14.6818877,77.6005911,,"14.682, 77.601"
81,Usha Speciality Hospital,,,,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle","Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Andhra Pradesh,Chittoor,,517325,,,,,,,,,,13.5603491,78.5036065,,"13.56, 78.504"
82,Viswa Orthopaedic Hospital,,,,"D No 11-70, Patel Road Madanapalli","D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Andhra Pradesh,Chittoor,,517325,08571    221646,,,,,,,,,13.5603491,78.5036065,,"13.56, 78.504"
83,Saraswathi Maternity Nursing Home,,,,"Borugulabatti, Thasildhar Street Newpet","Borugulabatti, Thasildhar Street Newpet",Andhra Pradesh,Chittoor,,517408,,,,,,,,,,,,,
84,P E S Institute Of Medical Sciences and Research,,,,Kuppam Palmaner Road,"Kuppam Palmaner Road,  - Chittoor",Andhra Pradesh,Chittoor,,517425,"08570  256666, 256655",,,,,,,,,12.7279579,78.3512397,,"12.728, 78.351"
85,Rathna Childrens and General Hospital,,,,"Palace Road, Kuppam","Palace Road, Kuppam",Andhra Pradesh,Chittoor,,517425,,,,,,,,,,12.7510218,78.340196,,"12.751, 78.34"
86,Sri Priya Nursing Home,,,,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam","A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Andhra Pradesh,Chittoor,,517425,08570    255136,,,,,,,,,12.7470314,78.3330157,,"12.747, 78.333"
87,Apollo Multispeciality Hospital,,,,"D.No :10-15-189/I2, K.K. Layout, Tirupati","D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6403071,79.4176391,,"13.64, 79.418"
88,Apollo Rural Hospitals,,,,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal","Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Andhra Pradesh,Chittoor,,517501,"283220, 283221",,,,,,,,,,,,
89,Asalatha Medicare Pvt Lt,,,,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati","10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6320156,79.4260025,,"13.632, 79.426"
90,Balaji Institute Of Surgery Research And Rehabilit,,,,Tirupti (B.I.R.R.D),Tirupti (B.I.R.R.D),Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
91,Balaji Orthopaedic And Trauma Hospital,,,,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati","413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Andhra Pradesh,Chittoor,,517501,0877    2222700,,,,,,,,,13.6344095,79.425573,,"13.634, 79.426"
92,Bhaskar Allergy and Chest Hospital,,,,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati","No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6338436,79.4210045,,"13.634, 79.421"
93,Clinic Nisha,,,,"398A, Doddapuram Street, Tirupati","398A, Doddapuram Street, Tirupati",Andhra Pradesh,Chittoor,,517501,2228761,,,,,,,,,13.6338782,79.4195997,,"13.634, 79.42"
94,Dbr And Sk Super Speciality Hospital,,,,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road","18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Andhra Pradesh,Chittoor,,517501,"0877    6667999, 6561981",,,,,,,,,13.6244611,79.4310052,,"13.624, 79.431"
95,Eye Care Centre and Contact Lens Clinic,,,,Nehru Nagar Behind Jyothi Talkies Tirupati,Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
96,Gayatri Hospital Tirupati,,,,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda","10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Andhra Pradesh,Chittoor,,517501,2253714,,,,,,,,,,,,
97,Harshitha Hospital,,,,"10-13-568,,Reddy and Reddy Colony","10-13-568,Reddy and Reddy Colony,Chittoor.",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6361446,79.4204532,,"13.636, 79.42"
98,Lotus Emergency Hosptial,,,,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road","6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Andhra Pradesh,Chittoor,,517501,0877  2252962,,,,,,,,,,,,
99,M S Hospital,,,,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road","D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Andhra Pradesh,Chittoor,,517501,0877  228 2459,,,,,,,,,13.6781837,79.352188,,"13.678, 79.352"
100,M.M Hospital,,,,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati","138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
101,M/S Sapthagiri Eye Care Centre,,,,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta","20-5-746 F, Tirumala Bye Pass Road, Karlagunta",Andhra Pradesh,Chittoor,,517501,2280488,,,,,,,,,,,,
102,Manohari Nursing Home,,,,"548, R.R. Colony,Tirupati","548, R.R. Colony,Tirupati-",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6302513,79.4118237,,"13.63, 79.412"
103,Meghana Hospital,,,,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati","538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6287557,79.4191795,,"13.629, 79.419"
104,Mother Hospital,,,,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample","6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Andhra Pradesh,Chittoor,,517501,0877    2286112,,,,,,,,,,,,
105,Navya Netralaya Eye Hospital,,,,2-2-349 K.V. Layout,2-2-349 K.V. Layout,Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.217176,79.1003289,,"13.217, 79.1"
106,Neelima Maternity Nursing Home,,,,"18-2-246 , Road No-1 Abbanna Colony Tirupati","18-2-246, Road No-1 Abbanna Colony Tirupati",Andhra Pradesh,Chittoor,,517501,,,,,,,,,,13.6390013,79.4272041,,"13.639, 79.427"
